source,target
"com.itsoninc.saas.services.ums.worker.UmsPlanSubscriptionQueueJobV2$UmsPlanSubscriptionQueueJobResult","com.itsoninc.saas.infrastructure.worker.JobResult"
"com.itsoninc.saas.services.iop.cache.CacheInvalidationQueueJob$CacheInvalidationJobResult","com.itsoninc.saas.infrastructure.worker.JobResult"
"com.itsoninc.saas.services.partner.plancycle.errorhandler.QueueJobResult","com.itsoninc.saas.infrastructure.worker.JobResult"
"com.itsoninc.saas.services.partner.plancycle.job.PlanPurchaseQueueJob$PlanPurchaseQueueJobResult","com.itsoninc.saas.infrastructure.worker.JobResult"
"com.itsoninc.saas.services.partner.plancycle.job.ExternalEventsQueueJobResult","com.itsoninc.saas.infrastructure.worker.JobResult"
"com.itsoninc.saas.services.partner.plancycle.job.AccountActionQueueJobResult","com.itsoninc.saas.infrastructure.worker.JobResult"
"com.itsoninc.saas.services.ums.worker.UMSDleWorkerQueueJob$DLEQueueJobResult","com.itsoninc.saas.infrastructure.worker.JobResult"
"com.itsoninc.saas.services.partner.plancycle.job.TimeBasedTagNotificationJobResult","com.itsoninc.saas.infrastructure.worker.JobResult"
"com.itsoninc.saas.services.partner.plancycle.job.AutoProvisionServiceJobResult","com.itsoninc.saas.infrastructure.worker.JobResult"
"com.itsoninc.saas.services.ums.worker.SMSUsageRangeServiceJob$SMSUsageRangeServiceJobResult","com.itsoninc.saas.infrastructure.worker.JobResult"
"com.itsoninc.saas.services.partner.plancycle.job.CycleEventServiceJobResult","com.itsoninc.saas.infrastructure.worker.JobResult"
"com.itsoninc.saas.services.partner.plancycle.accountaction.AbstractAccountActionHandler","com.itsoninc.saas.services.partner.plancycle.accountaction.AccountActionHandler"
"com.itsoninc.saas.services.usage.util.AccessRestrictionNotificationServiceImpl$AccessRestrictionNotificationType","java.lang.Enum"
"com.itsoninc.saas.services.client.ClientContext$ServiceRootContextType","java.lang.Enum"
"com.itsoninc.saas.services.security.auth.SystemAuthorizationService$AccessType","java.lang.Enum"
"com.itsoninc.saas.infrastructure.storage.PredicateCondition$ConditionType","java.lang.Enum"
"com.itsoninc.saas.infrastructure.services.enforcement.PolicyEnforcementEngine$EnforcementDirectiveType","java.lang.Enum"
"com.itsoninc.saas.services.iop.voice.VoiceSmsCDRRecord$Header","java.lang.Enum"
"com.itsoninc.saas.services.notify.provider.sms.eai.SMSCommandCodeType","java.lang.Enum"
"com.itsoninc.saas.services.notify.provider.DeliveryProvider$START_STATE","java.lang.Enum"
"com.itsoninc.saas.infrastructure.services.notify.NotifyComponentMetricsCreator$NotifyComponentMetricsType","java.lang.Enum"
"com.itsoninc.saas.infrastructure.queue.instrumentation.QueueComponentMetricsCreator$QueueMetricsType","java.lang.Enum"
"com.itsoninc.saas.services.notification.NotificationVariableSubstitutionService$ReasonCodeName","java.lang.Enum"
"com.itsoninc.saas.services.notify.provider.apns.SaasApnsPushNotification$StateType","java.lang.Enum"
"com.itsoninc.saas.services.notification.NotificationVariableSubstitutionServiceImpl$UnitType","java.lang.Enum"
"com.itsoninc.saas.adapters.sapphire.in.services.INBalanceTransferResponse$INBalanceTransferResult","java.lang.Enum"
"com.itsoninc.saas.adapters.sapphire.in.services.INServiceClientImpl$SubscriptionType","java.lang.Enum"
"com.itsoninc.saas.infrastructure.config.Config$SERVICE","java.lang.Enum"
"com.itsoninc.saas.infrastructure.storage.SaveOptions$OperationType","java.lang.Enum"
"com.itsoninc.saas.services.util.HlsUtils$SearchType","java.lang.Enum"
"com.itsoninc.sapphire.in.TrafficType","java.lang.Enum"
"com.itsoninc.saas.services.notification.instrumentation.NotificationComponentMetricsCreator$NotificationMetricsType","java.lang.Enum"
"com.itsoninc.saas.services.subscriber.subscription.PlanSubscriptionFulfillmentCallbackServiceImpl$UmsResponseStatus","java.lang.Enum"
"com.itsoninc.saas.infrastructure.queue.instrumentation.QueueComponentMetricsCreator$QueueLatencyMetricsType","java.lang.Enum"
"com.itsoninc.saas.infrastructure.storage.instrumentation.StorageComponentMetricsCreator$StorageMetricsType","java.lang.Enum"
"com.itsoninc.saas.services.notify.NotifyServiceImpl$EmailProviderType","java.lang.Enum"
"com.itsoninc.saas.services.notify.provider.interDI.InterDIDeliveryProvider$PostMessagesStatus","java.lang.Enum"
"com.itsoninc.saas.adapters.sapphire.in.services.INServiceType","java.lang.Enum"
"com.itsoninc.saas.services.subscriber.matcher.DeviceMatcherKey","java.lang.Enum"
"com.itsoninc.saas.services.notification.NotificationVariableSubstitutionService$MergeVariableName","java.lang.Enum"
"com.itsoninc.saas.adapters.sapphire.in.services.INResponse$INResult","java.lang.Enum"
"com.itsoninc.saas.services.subscriber.instrumentation.SubscriberComponentMetricsCreator$SubscriberComponentMetricsType","java.lang.Enum"
"com.itsoninc.saas.service.ums.instrumentation.UMSComponentMetricsCreator$UMSComponentMetricsType","java.lang.Enum"
"com.itsoninc.saas.services.partner.cycleevent.status.CycleEventStatusCode","java.lang.Enum"
"com.itsoninc.saas.services.notify.TemplateFeatureType","java.lang.Enum"
"com.itsoninc.saas.services.subscriber.subscription.PlanSubscriptionUtil$OperationType","java.lang.Enum"
"com.itsoninc.saas.services.ums.worker.INMessageQueueJob$INMessageType","java.lang.Enum"
"com.itsoninc.saas.services.partner.plancycle.accountaction.AccountTerminationAction$AccountTerminationActionError$Cause","java.lang.Enum"
"com.itsoninc.saas.services.iop.voice.VoiceSmsCDRRecord$CDRType","java.lang.Enum"
"com.itsoninc.saas.adapter.common.HomeLookupService$SearchType","java.lang.Enum"
"com.itsoninc.sapphire.in.BlockedReasonType","java.lang.Enum"
"com.itsoninc.saas.services.partner.plancycle.accountaction.event.EventActionResponse$EventActionResponseEnum","java.lang.Enum"
"com.itsoninc.saas.services.notify.NotifyServiceImpl$GCMProviderType","java.lang.Enum"
"com.itsoninc.saas.adapters.sapphire.in.services.INAccountServiceClient$INLanguage","java.lang.Enum"
